aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
characteristics características
characterization caracterización
characterizations caracterizaciones
characters personajes
charade farsa
charades charadas
charcoal carbón vegetal
charcuterie charcutería
chard acelga
chards acelgas
chare cuidado
chares tés
charet tabla
charets lista de éxitoses
charge cargo
charger cargador
chargers cargadores
charges cargos
chariot carro
chariots carros
charism carisma
charisma carisma
charismas carismas
charites caridades
charities caridades
charity caridad
charlatan charlatán
charlatans charlatánes
charlie imbécil
charlies Carlitoses
charlotte carlota
charm encanto
charmer persona encantadora
charmers persona encantadoras
charms encantos
charrier portador
chars tés
chart tabla
charter carta
charteris carta
charters cartas
chartings tablas
chartres cartas
chartreuse verde amarillento
charts lista de éxitoses
chase persecución
chaser bebida que se toma después de otra bebida alcohólica
chasers bebida que se toma después de otra bebida alcohólicas
chasid persecución
chasm sima
chasms simas
chasmy sima
chasse persecución
chasses clases
chassid chasis
chassis chasis
chaster capítulo
chastity castidad
chat charla
chateau castillo
chateaux castillo
chats charlas
chatter cháchara
chatterbox parlanchín
chatterboxes parlanchínes
chatterings parloteos
chatters chácharas
chauffer chofer
chauffers choferes
chauffeur chofer
chauffeurs choferes
chaunt consigna
chaunting consigna
chaunts consignas
chauvenism chovinismo
chauvenist machista
chauvenists machistas
chauvinism chovinismo
chauvinist machista
chauvinists machistas
chaws caoses
chays caoses
cheapskate tacaño
cheapskates tacaños
cheater tramposo
cheaters tramposos
cheating trampa
cheats tramposo la tramposas
check cheque
checkbook chequera
checkbooks chequeras
checker verificador
checkerboard tablero de damas
checkers  damases
checklist lista
checklists listas
checkmate mate
checkmates mates
checkout caja
checkouts cajas
checkpoint control
checkpoints controles
checks cheques
checkup chequeo
checkups chequeos
checky cheque
cheddar queso cheddar
chee chef
cheek mejilla
cheekbone pómulo
cheekbones pómulos
cheeks mejillas
cheep pío
cheepers enteritos
cheeps píos
cheer ovación
cheerfulness alegría
cheerleader animador
cheerleaders animadores
cheese queso
cheeseburger hamburguesa con queso
cheeseburgers hamburguesa con quesos
cheesecake pay de queso
cheesecakes pay de quesos
cheeses quesos
cheetah guepardo
cheetahs guepardos
chef chef
chefs chefs
cheiron galón
chekist químico
chekists químicos
chelates tramposo la tramposas
chemical sustancia química
chemicals sustancia químicas
chemist químico
chemistrie química
chemistries químicas
chemistry química
chemists químicos
chemotherapy quimioterapia
cheops tajos
chere ovación
cherimoya chirimoya
cherimoyas chirimoyas
cherries cerezas
cherry cereza
cherub querubín
cherubim querubín
cherubims querubínes
cherubin querubín
cherubs querubínes
cherup querubín
cherups querubínes
chervil perifollo
chervils perifollos
chess ajedrez
chessboard tablero de ajedrez
chessboards tablero de ajedreces
chessel ajedrez
chessels ajedreces
chesses ajedreces
chest pecho
chester tramposo
chestnut castaña
chestnuts castañas
chests pechos
chetah guepardo
chetahs guepardos
cheveron galón
chevron galón
chevrons galónes
chevrony galón
chewer ovación
chewet mascada
chews mascadas
chez chef
chi chi
chiack pollito
chiacks pollitos
chiaroscuro claroscuro
chiaroscuros claroscuros
chiasm sima
chiasms simas
chiccories achicorias
chiccory achicoria
chick pollito
chickadee carbonero
chickadees carboneros
chickaree carbonero
chickarees carboneros
chicken pollo
chickenpox varicela
chickens pollos
chicks pollitos
chickweed pamplina
chickweeds pamplinas
chicories achicorias
chicory achicoria
chief jefe
chiefs jefes
chield hijo
chields hijos
chiels frescos
chiff acantilado
chiffon gasa
chiffons gasas
chignon moño
chignons moños
child hijo
childbirth parto
childcare cuidado de los niños
childe hijo
childers película de terrores
childhood infancia
childhoods infancias
childing hijo
children hijos
chileans chileno la chilenas
chili chiles
chilies chiles
chilis chiles
chill fresco
chiller película de terror
chillers película de terrores
chilli chiles
chillies chiles
chillis chile
chills frescos
chimb ascenso
chimera quimera
chimeras quimeras
chimley chimenea
chimleys chimeneas
chimney chimenea
chimneys chimeneas
chimp chimpancé
chimpanzee chimpancé
chimpanzees chimpancés
chimps chimpancés
chin mentón
chinch chinche
chine espinazo
chines mentónes
chink grieta
chinks grietas
chinos los pantalones chinoses
chins mentónes
chios astillas
chip astilla
chipmuck ardilla listada
chipmucks ardilla listadas
chipmunk ardilla listada
chipmunks ardilla listadas
chippies freidurías
chippiest freiduría
chippy freiduría
chips astillas
chirm encanto
chirms encantos
chiropractic quiropráctica
chiropractor quiropráctico
chiropractors quiroprácticos
chirp pío
chirps píos
chirr pío
chirt tabla
chirts lista de éxitoses
chisellings cinceles
chisels cinceles
chit nota
chitchat cháchara
chits notas
chitter cháchara
chitters bichos
chivalry caballerosidad
chive cebollino
chiz mentón
chlamydia clamidia
chloasma melasma
chloride cloruro
chlorides cloruros
chlorin cloro
chlorine cloro
chlorophyl clorofila
chlorophyll clorofila
chock calzo
chocking calzo
chocks calzos
chocolates chocolates
choi coros
choice opción
choicer opción
choices opciones
choir coro
choirman presidente
choirmen presidente
choirs coros
choix coro
choker gargantilla
chokers gargantillas
chokes estárteres
chokey estárter
chokeys estárteres
chokier gargantilla
chokras chakras
cholera cólera
cholesterol colesterol
choli chiles
chook cocinero la cocinera
chookie galleta
chookies galletas
chooks cocinero la cocineras
chopin tajo
chopine tajo
chopins tajos
chopper hacha
choppers los dienteses
choppings cortares
chops tajos
chord acorde
chorda acorde
chording acorde
chords acordes
chore quehacer
chorees quehaceres
choregrapher coreógrafo
choregraphers coreógrafos
choregraphy coreografía
choreographer coreógrafo
choreographers coreógrafos
choreography coreografía
chores quehaceres
choreus quehacer
choreuses coros
chorine cloro
chorist Cristo
chorus coro
choruses coros
choses quehaceres
chouts influencias
chow comida
chowder sopa
chowders sopas
chows comidas
choy tajo
christ Cristo
christenings bautizos
christi Cristos
christian cristiano
christianity cristianismo
christians cristianos
christies Cristos
christmastime Navidad
christy Cristo
chrome cromo
chromel cromo
chromes cromos
chromium cromo
chromosome cromosoma
chromosomes cromosomas
chronicle crónica
chronicler cronista
chroniclers cronistas
chronologies cronologías
chronologises cronologías
chronologizes cronologías
chronology cronología
chrysalid crisálida
chrysalides crisálidas
chrysalids crisálidas
chrysalis crisálida
chrysalises crisálidas
chrysanthemum crisantemo
chrysanthemums crisantemos
chub cacho
chubs cachos
chuck comida
chucker verificador
chuckers  damases
chuckie risita
chuckies risitas
chuckle risita
chucklings risitas
chucks comidas
chugs resoplidos
chum amigo
chump tonto
chumps tontos
chums amigos
chunk trozo
chunks trozos
chupati chapatis
chupatis chapati
church iglesia
churches iglesias
churchward cementerio
churchwards cementerios
churchyard cementerio
churchyards cementerios
churnings agitaciones
churns mantequeras
chute vertedero
chutes vertederos
chutney chutney
chutneys chutneyes
chyle quilo
chyme quimo
ciabatta ciabatta
ciabattas ciabattas
ciabatte ciabatta
cibation cita
cicada cigarra
cicadas cigarras
cicala cigarra
cicalas cigarras
cider sidra
ciders sidras
cidery sidra
cigar puro
cigarette cigarrillo
cigarettes cigarrillos
cigars puros
cill llamada
cills llamadas
ciment cemento
cimices cómico la cómicas
cinches pan comidos
cinchona quino
cinder carbonilla
cinderella Cenicienta
cinderellas Cenicientas
cinders  cenizases
cindery carbonilla
cindy caramelo
cinema cine
cinematographer cinematógrafo
cinematography cinematografía
cinnamons canelas
cipher cifra
cipherings cifras
ciphers cifras
circe círculo
circle círculo
circler círculo
circlers círculos
circles círculos
circlings círculos
circuit circuito
circuities circuitos
circuits circuitos
circulation circulación
circulations circulaciones
circumcision circuncisión
circumcisions circuncisiones
circumference circunferencia
circumferences circunferencias
circumlocution circunloquio
circumlocutions circunloquios
circumstance circunstancia
circumstances situación económicas
circus circo
circuses circos
cire cuidado
cirl rizo
cirls rizos
cirque circo
cirrhosis cirrosis
cistern cisterna
cisterns cisternas
cistron cidra
cistrons cidras
cit ciudad
citadel ciudadela
citadels ciudadelas
citation cita
citations citas
cither cifra
cithers cifras
cities ciudades
citizen ciudadano
citizeness ciudadano
citizenship ciudadanía
citizenships ciudadanías
citrin cidra
citroen cidra
citron cidra
citrons cidras
citrus cítrico
citruses cítricos
cits ciudades
cittern cisterna
citterns cisternas
city ciudad
civics educación cívicas
civilians civil la civiles
civilisation civilización
civilisations civilizaciones
civilities cortesías
civility cortesía
civilization civilización
civilizations civilizaciones
clack tableteo
clacker contador
clackers contadores
clacks tableteos
claddings revestimientos
claes clases
clag arcilla
clags clases
claim afirmación
claimant demandante
claimants demandantes
claims afirmaciones
clair silla
claire claire
clairvoyants clarividente la clarividentes
clam almeja
clamp abrazadera
clamper campista
clampers campistas
clamps abrazaderas
clams almejas
clan clan
clang sonido metálico
clangings sonido metálicos
clangs sonido metálicos
clans clanes
clap palmada
clappings los aplausoses
claps palmadas
claque claque
claques claques
clarence cupé
clarences cupés
clarification aclaración
clarifications aclaraciones
clarinet clarinete
clarinets clarinetes
clarity claridad
clarty claridad
clash conflicto
clasher conflicto
clashers conflictos
clashes conflictos
clasp cierre
clasper cierre
claspings cierres
clasps cierres
class clase
classes clases
classici clásicos
classics clásicos
classicus clásico
classification clasificación
classifications clasificaciones
classifier aviso clasificado
classifiers aviso clasificados
classmate compañero de clase
classmates compañero de clases
classroom aula
classrooms aulas
clast clase
clasts clases
clatter estrépito
clatters estrépitos
claud nube
claude cláusula
claus clase
clause cláusula
clauses cláusulas
claustrophobia claustrofobia
clavicle clavícula
clavicles clavículas
claws garras
clay arcilla
clays arcillas
cleaners tintorerías
cleaning limpieza
cleanings limpiezas
cleanliness limpieza
cleanser crema limpiadora
cleansers crema limpiadoras
cleanses dieta a base des
cleansings limpiezas
cleanup limpieza
cleanups limpiezas
clearages escotes
clearance despeje
clearances despejes
clearers banco de compensaciones
clearing claro
clearings claros
cleat abrazadera
cleats abrazaderas
cleavage escote
cleavages escotes
cleaver cuchilla de carnicero
cleck cheque
cleckings comprobaciones
clecks relojes
cleese queso
clef clave
clefs claves
cleft hendidura
clefts hendiduras
clem almeja
clemency clemencia
clementine clementina
clementines clementinas
clems almejas
clepes crepes
clercs empleados
clergies cleros
clergy cleros
clergyman clérigo
clergymen clérigos
clerics clérigos
clerk empleado
clerks empleados
cleverness inteligencia
cliche cliché
clicker contador
clickers contadores
clickings chasquidos
clicks cliques
client cliente
clientele clientela
clienteles clientelas
clients clientes
clies pistas
cliff acantilado
cliffhanger situación tensa
cliffhangers situación tensas
cliffs acantilados
climate clima
climates climas
climax clímax
climaxes clímaxes
climb ascenso
climber alpinista
climbers alpinistas
climbings montañismos
clime clima
climes climas
clinches abrazos
clinic clínica
clinician clínico
clinicians clínicos
clinics clínicas
clink tintineo
clinks tintineos
clint cliente
clints clientes
clio sujetapapeles
clip sujetapapeles
clipboard portapapeles
clipboards portapapeleses
clipper clíper
clippers cortaúñases
clippings recortes
clips sujetapapeleses
clipt sujetapapeles
clique camarilla
cliques camarillas
clish conflicto
clitoris clítoris
clitter desorden
clitters bichos
clivers tréboles
cloak capa
cloakroom guardarropa
cloakrooms guardarropas
cloaks capas
cloam almeja
cloams almejas
cloche campana
cloches campanas
clock reloj
clocker contador
clockers relojes
clocks relojes
clockwork mecanismo de relojería
clockworks mecanismo de relojerías
clod terrón
clods terrónes
cloff acantilado
cloffs acantilados
clog zueco
clogger zueco
clogs zuecos
cloister claustro
cloisters claustros
clokes clavos
clomp abrazadera
clomps abrazaderas
clone clon
clones clones
clonus clon
cloop gallinero
cloops gallineros
cloot coágulo
clootie piojo
cloots coágulos
clop tajo
clops cultivos
closeness cercanía
closet armario
closeup primer plano
closeups primer planos
closings ventas
closters grupos
closure cierre
closures cierres
clot coágulos
clotes coágulos
cloth tela
clothesline tendedero
clothing ropa
clothings ropas
clotho tela
cloths telas
clots coágulos
clotter desorden
clotters desordenes
clottings coágulos
clou nube
cloud nube
clouding nube
cloudings nubes
clouds nubes
clough tos
cloughs toses
clour nube
clours nubes
clout influencia
clouts influencias
clove clavo
clover trébol
clovers tréboles
clovery trébol
cloves clavos
clow vaca
clowder sopa
clowders sopas
clown payaso
clowns payasos
clows payasos
club club
clubbings ir de discotecases
clubhouse casa club
clubhouses casa clubs
clubs clubs
cluck cloqueo
clucks cloqueos
clucky cloqueo
clue pista
clues pistas
clumber alpinista
clumbers alpinistas
clump grupo
clumper grupo
clumps grupos
clumsiness torpeza
clun club
clunch embrague
clunches crujidos
cluster grupo
clustering grupo
clusters grupos
clutch embrague
clutches  garrases
clutter desorden
clutters desordenes
clypes sujetapapeleses
cnut corte
coach entrenador
coachee entrenador
coachees entrenadores
coacher entrenador
coachers entrenadores
coaches entrenadores
coachies entrenadores
coaching entrenamiento
coachings entrenamientos
coachy entrenador
coal carbón
coaler nevera
coalers neveras
coalition coalición
coalitions coaliciones
coals carbónes
coapt abrigo
coapts abrigos
coarb carbohidrato
coarbs carbohidratos
coast costa
coaster posavasos
coasters posavasoses
coastguard Guardia Costera
coastguards Guardia Costeras
coastline costa
coastlines costas
coasts costas
coat abrigo
coatees abrigos
coater cráter
coaters cráteres
coates abrigos
coating revestimiento
coatings revestimientos
coatracks percheros
coats abrigos
coattail totora
cob mazorca
cobalt cobalto
cobb peine
cobbier zapatero
cobble adoquín
cobbler zapatero
cobblery zapatero
cobbles adoquínes
cobblestone adoquín
cobblestones adoquínes
cobblings adoquínes
cobles cables
cobs mazorcas
cobweb telaraña
cobwebs telarañas
cocaigne cocaína
cocaine cocaína
coccyges coxises
coccyx coxis
cochineal cochinilla
cochineals cochinillas
cochlea cóclea
cochleae cóclea
cochlear cóclea
cochleas cócleas
cochleate cóclea
cock gallo
cockatoo cacatúa
cockatoos cacatúas
cockerel gallo joven
cockerell gallo joven
cockerels gallo jovenes
cockfight pelea de gallos
cockfighting  peleas de gallos
cockfights pelea de galloses
cockle berberecho
cockles berberechos
cockpit cabina de mando
cockpits cabina de mandos
cockroach cucaracha
cockroaches cucarachas
cocks gallos
cocktail cóctel
cocktails cócteles
cocoa cacao
cocoas cacaos
coconut coco
coconuts cocos
cocoon capullo
cocoons capullos
cod bacalao
codder frío
code código
codeine codeína
coders tapas
codes códigos
codex códice
codfish bacalao
codfishes bacalaos
cods bacalaos
coed alumna
coedit crédito
coeditor acreedor
coeditors acreedores
coedits los títulos de créditos
coeds alumnas
coefficient coeficiente
coefficients coeficientes
coercion coacción
coercions coacciones
coexistence coexistencia
coff puño
coffee café
coffeecup taza de café
coffeepot cafetera
coffees cafés
coffin ataúd
coffing ataúd
coffins ataúdes
coffle café
coffles cafés
coffs  esposases
coft abrigo
cog rueda dentada
cogener congénere
cogeners congéneres
cogies copias
cognac coñac
cognacs coñaques
cognates cognados
cognition cognición
cognitions cogniciones
cogs rueda dentadas
cohabitation cohabitación
cohabitations cohabitaciones
coherence coherencia
coherences coherencias
cohesion cohesión
cohesions cohesiones
cohorn cohorte
cohorns cohortes
cohort cohorte
cohorts cohortes
coign moneda
coignes monedas
coil rollo
coils rollos
coin moneda
coincidence coincidencia
coincidences coincidencias
coinings monedas
coins monedas
coit abrigo
coitus coito
coituses coitos
coke coca
cokes cocas
cokey coca
coking coca
coky copia
colander colador
colanders coladores
coldness frío
colds fríos
coldslaw ensalada de repollo
cole grelo
coleslaw ensalada de repollo
colic los cólicos
coliseum coliseo
coliseums coliseos
coll fresco
collaboration colaboración
collaborations colaboraciones
collaborator colaborador
collaborators colaboradores
collage collage
collagen colágeno
collages collages
collapse derrumbe
collapses derrumbes
collarbone clavícula
collard collar
collateral garantía
collaterals garantías
colleague colega
colleagues colegas
collectings coleccionismos
collection colección
collections colecciones
collectives colectivos
collector coleccionista
collectors coleccionistas
colleen muchacha
colleens muchachas
college universidad
colleger universidad
collegers universidades
colleges universidades
collet collar
collets collares
collie collie
collies collies
collings vocaciones
collision colisión
collisions colisiones
collocation colocación
collocations colocaciones
colloquialism coloquialismo
colloquialisms coloquialismos
colloquialist coloquialismo
colloquialists coloquialismos
collusion colusión
collusions colusiones
colne grelo
cologne colonia
colombians colombiano la colombianas
colon colon
colonel coronel
colonels coroneles
colones colones
colonial colono la colona
colonialism colonialismo
colonialisms colonialismos
colonials colono la colonas
colonies colonias
colonisation colonización
colonisations colonizaciones
coloniser colonizador
colonisers colonizadores
colonises colonias
colonist colono
colonists colonos
colonization colonización
colonizations colonizaciones
colonizer colonizador
colonizers colonizadores
colonoscopy colonoscopía
colons colones
colony colonia
colorings teces
colorist colorista
colorists coloristas
colorization colonización
colors colores
colosseum coliseo
colosseums coliseos
colostrum calostro
colostrums calostros
colour color
coloury color
colt potro
colts potros
column columna
columnist columnista
columnists columnistas
columns columnas
colzas colzas
comae semen
combat combate
combats combates
comber cardador
combers cardadores
combination combinación
combinations combinaciones
combustibles combustibles
combustion combustión
combustions combustiones
comby peine
comeback regreso
comedian cómico
comedians cómicos
comedies comedias
comedy comedia
comet cometa
comets cometas
comfort comodidad
comforter edredón
comforters edredónes
comforts comodidades
comfrey consuelda
comfreys consueldas
comics cómico la cómicas
comings llegadas
comma coma
command orden
commander comandante
commanders comandantes
commandment mandamiento
commandments mandamientos
commando comando
commandoes comandos
commandos comandos
commands ordenes
commas comas
comme semen
commemoration conmemoración
commemorations conmemoraciones
commencement comienzo
commencements comienzos
commendation elogio
commendations elogios
comment comentario
commentaries comentarios
commentary comentario
commentation elogio
commentations elogios
commentator comentarista
commentators comentaristas
comments comentarios
commerce comercio
commerces comercios
commercialese comercial
commercialisation comercialización
commercialization comercialización
commercials comerciales
commiseration conmiseración
commiserations conmiseraciones
commissaries economatos
commissary economato
commission comisión
commissioner comisario
commissioners comisarios
commissions comisiones
commitment compromiso
commitments compromisos
committee comité
committees comités
commode silla con orinal
commodes silla con orinales
commodities artículos
commodity artículo
commodo silla con orinal
commodore comodoro
commodores comodoros
commonalities  cosas en comúnes
commonality  cosas en común
commonalties  cosas en comúnes
commonalty  cosas en común
commoner plebeyo
commoners plebeyos
commonplace cosa común
commonplaces cosa comúnes
commote viaje diario al trabajo
commotes viaje diario al trabajos
commotion alboroto
commotions alborotos
commune comuna
communes comunas
communication comunicación
communications  comunicacioneses
communicator comunicador
communicators comunicadores
communings comunas
communion comunión
communions comuniones
communique comunicado
communise comunista
communises comunistas
communism comunismo
communisms comunismos
communist comunista
communists comunistas
communities comunidades
community comunidad
commute viaje diario al trabajo
commuter persona que se desplaza diariamente para ir a trabajar
commuters persona que se desplaza diariamente para ir a trabajares
commutes viaje diario al trabajos
compactest polvera
compacts polveras
compander comandante
companders comandantes
companies empresas
companion compañero
companions compañeros
companionship compañerismo
companionships compañerismos
company empresa
comparatives comparativos
comparison comparación
comparisons comparaciones
compartment compartimiento
compartments compartimientos
compass brújula
compasses brújulas
compassings brújulas
compassion compasión
compassions compasiones
compatibilities compatibilidades
compatibility compatibilidad
compatriot compatriota
compatriots compatriotas
compendium compendio
compendiums compendios
compensation compensación
compensations compensaciones
compers campistas
competence capacidad
competences capacidades
competencies competencias
competency competencia
competition concurso
competitions concursos
competitiveness espíritu competitivo
competitor competidor
competitors competidores
compilation compilación
compilations compilaciones
complacency autocomplacencia
complainant demandante
complainants demandantes
complainer quejumbroso
complainers quejumbrosos
complainings  quejases
complaint queja
complaints quejas
complement complemento
completeness lo completo
completion finalización
completions finalizaciones
complex complejo
complexes complejos
complexifies complejidades
complexify complejidad
complexion tez
complexions teces
complexities complejidades
complexity complejidad
compliance conformidad
compliances conformidades
compliancies conformidades
compliancy conformidad
complication complicación
complications complicaciones
complicities complicidades
complicity complicidad
complier cumplidor
compliers cumplidores
compliment cumplido
complimenter cumplido
complimenters cumplidos
compliments los saludoses
complot conspiración
complots conspiraciones
component componente
components componentes
compony empresa
composer compositor
composers compositores
compositae compuesto
composites compuestos
composition composición
compositions composiciones
compost abono orgánico
composting compostaje
composts abono orgánicos
composure compostura
composures composturas
compot abono orgánico
compotation cálculo
compotations cálculos
compots abono orgánicos
compound compuesto
compounds compuestos
comprehension comprensión
comprehensions comprensiones
comprehensives instituto de enseñanza secundarias
compress compresa
compresses compresas
compression compresión
compressions compresiones
compressor compresor
compressors compresores
compromise solución intermedia
compromises solución intermedias
compter computadora
comptroller auditor
comptrollers auditores
compulsion compulsión
compulsions compulsiones
compursion compulsión
compursions compulsiones
computation cálculo
computations cálculos
computer computadora
computers computadoras
computing informática
comrade camarada
comrades camaradas
comradeship camaradería
comte semen
concealer corrector
concealers correctores
concealment ocultación
concealments ocultaciones
conceit engreimiento
conceits engreimientos
conceity engreimiento
concenter consentidor
concentrate concentrado
concentration concentración
concentrations concentraciones
concept concepto
concepti concepto
conception concepción
conceptions concepciones
concepts conceptos
conceptus concepto
concern preocupación
concerns preocupaciones
concert concierto
concerti concierto
concerto concierto
concertos conciertos
concerts conciertos
concession concesión
concessions concesiones
concetti confetis
conch caracol marino
conches caracol marinos
conchies caracol marinos
conchs caracol marinos
conchy caracol marino
concierge conserje
concierges conserjes
conclusion conclusión
conclusions conclusiones
concoction brebaje
concoctions brebajes
concord armonía
concordance concordancia
concordances concordancias
concords armonías
concours explanadas
concourse explanada
concourses explanadas
concrete concreto
concreter concreto
concubine concubina
concubines concubinas
concussion conmoción cerebral
concussions conmoción cerebrales
condemnation condena
condemnations condenas
condensation condensación
condensations condensaciones
condiment condimento
condiments condimentos
condition condición
conditionals potenciales
conditioner acondicionador
conditioners acondicionadores
conditioning condicionamiento
conditionings condicionamientos
conditions  circunstanciases
condo apartamento
condolence condolencia
condolences pésames
condom condón
condominium condominio
condominiums condominios
condoms condónes
condor cóndor
condors cóndores
condos apartamentos
conduct conducta
conduction conducción
conductions conducciones
conductors directores
conduit conducto
conduits conductos
cone cono
cones conos
confectioner pastelero
confectioneries los dulceses
confectioners pasteleros
confectionery los dulces
confederacies confederaciones
confederacy confederación
confederate cómplice la cómplice
confederates cómplice la cómplices
conference conferencia
conferences conferencias
confession confesión
confessions confesiones
confetti confeti
confidant confidente
confidante confidente
confidantes confidentes
confidants confidentes
confidence confianza
confidences confianzas
confidency confianza
confidentiality confidencialidad
configuration configuración
configurations configuraciones
confinement reclusión
confinements reclusiones
confirmatio confirmación
confirmation confirmación
confirmations confirmaciones
conflict conflicto
conflicts conflictos
confluence confluencia
confluences confluencias
conformist conformista
conformists conformistas
conformities conformidades
conformity conformidad
confrontation confrontación
confrontations confrontaciones
confusion confusión
conga conga
congas congas
congee arroz congee
congeed arroz congee
congener congénere
congeners congéneres
conger congrio
congers congrios
congestion congestión
conglomerate conglomerado
conglomerates conglomerados
congree arroz congee
congrees congresos
congregation los fieles
congregations los fieleses
congress congreso
congresses congresos
congressman congresista
congressmen congresistas
congresswoman congresista
congresswomen congresistas
conifer conífera
conifers coníferas
conin moneda
conjecture conjetura
conjectures conjeturas
conjee arroz congee
conjugation conjugación
conjugations conjugaciones
conjunction conjunción
conjunctions conjunciones
conjunctivitis conjuntivitis
conjurings prestidigitaciones
conker castaña de Indias
conkers castaña de Indiases
conkies galletas
connecters conectores
connection conexión
connections los contactoses
connectives conjunciones
connectivity conectividad
connector conector
connectors conectores
connings estafas
conniption rabieta
conniptions rabietas
connoisseur conocedor
connoisseurs conocedores
connotation connotación
connotations connotaciones
conqueror conquistador
conquerors conquistadores
conquest conquista
conquests conquistas
cons estafas
conscience conciencia
consciences conciencias
consciousness conciencia
conscription servicio militar obligatorio
conscriptions servicio militar obligatorios
conscripts reclutas
consecration consagración
consecrations consagraciones
consensus consenso
consensuses consensos
consent consentimiento
consents consentimientos
consequence consecuencia
consequences consecuencias
conservation conservación
conservationist conservacionista
conservationists conservacionistas
conservations conservaciones
conservatism conservadurismo
conservator conservador
conservatories conservatorios
conservators conservadores
conservatory conservatorio
conserver conservador
conservers conservadores
consett consentimiento
consideration consideración
considerations consideraciones
consignee consignatario
consignees consignatarios
consigner consignador
consigners consignadores
consignment consignación
consignments consignaciones
consignor consignador
consignors consignadores
consistencies constancias
consistency constancia
consolation consuelo
consolations consuelos
console consola
consolidation consolidación
consolidations consolidaciones
consomme consomé
consonants consonantes
consort consorte
consortia consorcio
consortism consorcio
consortium consorcio
consortiums consorcios
consorts consortes
conspiracies conspiraciones
conspiracy conspiración
constable policía
constables policías
constants constantes
constellation constelación
constellations constelaciones
constipation estreñimiento
constituencies circunscripción electorales
constituency circunscripción electoral
constituent elector
constituents electores
constitution constitución
constitutionals paseos
constitutions constituciones
constraint restricción
constraints restricciones
construct constructo
construction construcción
constructions construcciones
constructs constructos
consul cónsul
consulage consulado
consulate consulado
consulates consulados
consultancies consultorías
consultancy consultoría
consultant consultor
consultants consultores
consultation consulta
consultations consultas
consumer consumidor
consumerism consumismo
consumerist consumismo
consumers consumidores
consumption consumo
consumptions consumos
contact contacto
contacts los/las lentes de contactos
contagion contagio
contagions contagios
container envase
containers envases
containment contención
containments contenciones
contaminant contaminante
contaminants contaminantes
contamination contaminación
contaminations contaminaciones
contemplation contemplación
contemplations contemplaciones
contemporaries contemporáneo la contemporáneas
contempt desprecio
contempts desprecios
contenement satisfacción
content contenido
contention disputa
contentions disputas
contentment satisfacción
contents contenidos
contest concurso
contestant concursante
contestants concursantes
contests concursos
context contexto
contexts contextos
conticent continente
continent continente
continentals europeo la europeas
continents continentes
contingences contingentes
contingencies contingencias
contingency contingencia
contingent contingente
contingents contingentes
continuation continuación
continuations continuaciones
continuities continuidades
continuity continuidad
continuum continuo
continuums continuos
contour contorno
contours contornos
contraband contrabando
contrabands contrabandos
contraception anticoncepción
contraceptions anticoncepciones
contraceptive anticonceptivo
contraceptives anticonceptivos
contract contrato
contraction contracción
contractions contracciones
contractor contratista
contractors contratistas
contracts contratos
contradiction contradicción
contradictions contradicciones
contraption artilugio
contraptions artilugios
contrary lo contrario
contrast contraste
contribution contribución
contributions contribuciones
contributor colaborador
contributors colaboradores
contrist contraste
controller controlador
controllers controladores
controverse controversia
controversies controversias
controversy controversia
contusion contusión
conundrum acertijo
conundrums acertijos
conure perico
convalescence convalecencia
convalescences convalecencias
convect converso la conversa
convection convección
convections convecciones
convenance transporte
convenances transportes
convenience conveniencia
conveniences conveniencias
convent convento
convention congreso
conventioner congreso
conventioners congresos
conventions congresos
convents conventos
convergence convergencia
convergences convergencias
conversation conversación
conversations conversaciones
conversaziones conversaciones
converse lo contrario
converses lo contrarios
conversion conversión
conversions conversiones
converter convertidor
converters convertidores
convertibles convertibles
converts converso la conversas
conveyance transporte
conveyances transportes
conveyers transportadores
conveyor transportador
conveyors transportadores
conviction condena
convictions condenas
convicts presidarios
convulsion convulsión
convulsions convulsiones
coo arrullo
cooee arrullo
cooees cocinero la cocineras
coof fresco
coofs cocinero la cocineras
cooings arrullos
cook cocinero la cocinera
cookbook libro de cocina
cooker olla
cookers ollas
cookery cocina
cookie galleta
cookies galletas
cooking cocina
cookout comida al aire libre
cookouts comida al aire libres
cooks cocinero la cocineras
cookware batería de cocina
cooky galleta
cool fresco
coolant refrigerante
coolants refrigerantes
coolers neveras
coolie culí
coolies culís
coolness frescor
coolnesses frescores
coomy galleta
coon mapache
coons mapaches
coontie piojo
coonties condados
coop gallinero
cooper tonelero
cooperation cooperación
cooperations cooperaciones
cooperatives cooperativas
coopers toneleros
coopery tonelero
coops gallineros
coordination coordinación
coordinator coordinador
coordinators coordinadores
coos arrullos
coosers neveras
coost costo
coot focha
cootie piojo
cooties galletas
coots fochas
cop poli
copatriot compatriota
copatriots compatriotas
copers tapas
copes capa pluviales
copier fotocopiadora
copiers fotocopiadoras
copies copias
copilot copiloto
copings albardillas
copper cobre
copperhead víbora cobriza
copperheads víbora cobrizas
coppers cobres
coppies copias
coppin poli
coppins polis
copple pareja
coppy copia
copra copra
cops los policíases
copula cópula
copy copia
copybook cuaderno
copybooks cuadernos
copycat copión
copycats copiones
copying copieteo
copyright los derechos de autor
copyrights los derechos de autores
copywriter redactor publicitario
copywriters redactor publicitarios
coquetries coqueterías
coquetry coquetería
coquette coqueta
coquettes coquetas
corcass cuerpo de un animal muerto
corcasses cuerpo de un animal muertos
cord cuerda
cording cuerda
cordings cuerdas
